cleaned_reviewText,text_sentiment,cleaned_reviewTitle,title_sentiment
comfortable absolutely love look feel shoe run slightly big doesnt take away comfort im sliding around inside im able work well workout great excellent pair shoe,1,great pair shoe,1
like style weight shoe right wearing day good quality component however reviewer said insole make wearing shoe impossible surface insole attractive suede fabric look like comfortable fact fabric prevents foot sliding shoe forced foot toe uncomfortably turned self could possibly wear shoe like tried stocking different type sock difficulty could push foot smoothly shoe tried taking insole another pair sneaker putting aragon foot slid right walked arch support dilemma send back go buy set insole drug store see work disappointing,1,cant wear due poorly designed insole,1
tongue long stiff rough rub ankle raw,1,tongue rub ankle raw,1
trying find casual casual shoe work wanted athletic shoe fit shoe doesnt look like athletic shoe pretty close work well chino colored denim would look right dress pant business casual good im always went fit perfectly also need good support reasonable another pair aravon shoe mary jane also work well think good brand,1,looking,1
thought really cute fit good decided wear around day mopped floor like every day almost slipped shoe good lifestyle slippery pretty much tread would good walking long youre never honest service wouldnt want take chance back searching new pair shoe,1,slippery surfacesno tread,1
id give star werent fact material inside shoe keep pulling sock time frequent enough certain sock becomes annoying stop pull sock find way shoe walking min also lace dont seem stay tied recommendation buy sock really snug around ankle use different pair lace besides think shoe really cute love choice brown blue think work well together also shoe pretty good support use insert fit well shoe like said dont original insert pretty good,1,frequent enough certain sock becomes annoying stop pull sock,0
bought birthday present originally wanted use new jogging shoe tongue shoe stiff though still happy shoe cuz super cute besides stiff tongue complaint seem tad larger size ten little space like otherwise completely awesome,1,super cuter sneaker,1
excited find shoe super cute small however find larger size need tried really stiff bit tight know maybe would stretch wore didnt fit disappointed cant find size need anywhere keep looking,1,cute small,1
comfortable lightweight shoe found pretty true size shoe run differently review said ran small didnt find case bought width wider width doesnt look odd fit shoe well foot,1,nice lightweight comfort shoe,1
two year ago bought exact shoe wore always choosing stylish athletic shoe originally bought family going go ark kentucky knew would alot walkingthere never time foot hurt wear shoe get compliment often cute look best shoe comfort style bought update bought additional pair black,1,total comfort,1
sich wunderschner schuh auspacken und direkt meinem kind angezogen da kind geht schritte und fngt bitterlich zu weinen sofort schuhe ausgezogen und mal geschaut da los ist e war nen fr kleinkinderschuhe wirklich groer knick der inneneinlage der sich auch nicht wirklich begradigen lsst bedauerlich wo doch der schuh sich nicht im discounter sektor liegt da htte ich wirklich mehr erwartet,1,schmerzen kind,1
auf einem der fotos steht auf der sohle die gr die schuhe die mit verschickt wurden ist die gr habe keine antwort auf meine frage vor einigen tagen bekommen welche gre da tatschlich ist,0,au der anzeige e wird nicht klar welche gre e ist,1
grandson couldnt even get tightly cut,0,may work b width foot,1
lace broke slightly one week use horrible quality broke son complained uncomfortable metal grommet side rub side foot,0,fell apart one week,1
nice pair shoe,1,nice shoe,1
shoe cute jus fine wanted comment company actually bought wedding son wear werent going arrive time reached amazon luck finally contacted company directly said didnt think could get time process work however literally received next day whoever spoke thank obviously went way get pulled shipped cant thank enough made time wedding gorgeousmy son kept shoe night wear want dress casual say comfy shoe lace long enough tie easily,1,thank,1
year old asked skate shoe could picture airwalks van cute dont fit wide foot well began searching found skate shoe also adorable good adidas quality,1,average skate shoe theyre attractive,1
great looking shoe great price got gray black stripe black white stripe look exactly like one got store run big wear woman shoe measured foot big kid adidas size chart according get got didnt size based review woman hoping would work theyre big measured men store wasnt much difference measured men store wouldve ordered available hard guess weird sizing situation hopefully putting insole help want keep,1,great shoe great price run big,1
nice shoe got sale really nice,1,son love shoe,1
shoe fit expected bought seven year old son love comfortable definitely worth buy,1,comfortable style,1
kid love good fit comfortable,1,cute,1
shoe fit well comfortable,1,comfortable,1
son like however said heavy great shoe,1,stylish sturdy canvas thick sole,1
brought grandson im told fit perfectly love dont ever want take,1,awesome,1
die oberflche ist sehr empfindlich und sieht nicht lange schn au wenn man jung hat die gerne drauen toben,0,sehr empfindlich,1
,1,,1
,1,,1
eigentlich ein ganz toller und bequemer schuh von superfit ich wei nicht warum der hersteller die sohle billig hergestellt hat nach ein paar mal anziehen ging die weie schukappe schon ab sollte bei teuren markenschuhen ein nogo sein,0,toller schuh schlechte qualitt,1
komfort und perfekt schucse,1,perfekt schuche,1
ein wunderschner lederschuh der allerdings deutlich schmler ausfllt eigentlich trgt unser sohn die mittlere breite hier handelt e sich eher um die schmale ausfhrung daher ging der schuh leider retour sehr ungewhnlich fr superfit,0,fllt schmler au,1
unser tochter zieht diese schuhe sehr gerne und luft damit auch gerne herumabgesehen davon ist farbemodell sehr schn,1,lieblingsschuh,1
beste schuhe von superfit generell wir sind immer zufrieden und dieser schuh gefllt mir persnlich sehr gut,1,top,1
super hochwertiger kinderschuh meine tochter fhrt voll darauf ab,1,toller kinderschuh,1
muy cmodo para el nio,1,buen diseo,1
tight fit top part doesnt open made super hard son get shoe ended returning shoe puma make top part open possible velcro closed maybe zipper would awesome kid easily slide foot,1,hard son get,0
product fit well may ideal child wide foot strap across top stretch thick stretch easily may make difficult wider foot get pas section entire shoe made well,1,good quality,1
difficult put hard,0,tight fit,1
son love willing double sock layer make fit would recommend going half size son big kid size measurement could easily fit long,1,son say awesome shoe mom say go size,1
grandson love puma,1,love,1
complains,0,great son love,1
muy lindos pero aprietan de la parte de arriba,1,apretado de la parte de arriba,1
order size kid size shoe received tight child foot elastic run across cant expands sorry every purchased damn shoe,0,wrong shoe size came,0
producto original de buena calidad talla justa cumpli la expectativas,1,producto original,1
mein jhriger sohn liebt diese stiefel und mchte seine anderen schuhe nicht mehr tragen er hat den stiefeln keine schweife wie einigen anderen schuhen er luft sehr gut darin und hat auch bei eisigen temperaturen keine kalten fe die stiefel sind meiner meinung nach von einer sehr guten qualitt und deshalb etwas schwerer meinen sohn strt da berhaupt nicht er kommt perfekt rein und wieder raus da war bei anderen stiefeln problematischer da highlight fr ihn ist natrlich da blinken ich werde die stiefel auch wohl im nchsten winter kaufen,0,sehr gute winterstiefel,1
beck gummistiefel begleiten un nun schon einige jahre passform super vorallem wenn die fe etwas breiter geschnitten sind klare kaufempfehlung die leuchtfunktion beim gehen ein highlight fr die kleinen schuhe halten die fe im herbst und winter schn warm wir haben diesis modell schon da zweite jahr im einsatz,0,perfekt auch fr etwas breitere kinderfe,1
habe die gummistiefel fr meine beiden kinder gekauft und sie wurden ausgiebig im urlaub strand und pftzen getestet die gummistiefel haben den test bestanden und bekommen sterne entsprechen der angegebene gre genug platz auch mit dicken socken wasserdicht halten kleine fe warm und trocken schnes design blinkende sohle sehr gut sichtbar im dunkelnkann diese stiefel nur empfehlen,0,super gummistiefel,1
ich habe diese gummistiefel nun da zweite mal bestellt au den ersten ist mein shnchen herausgewachsen die gummistiefel sind sehr robust sie haben ein ganzes kindergartenjahr vergleichsweise gut berstanden sie halten warm und trocken e stimmt das die stiefel etwas schwerer sind al andere gummistiefel aber meinen sohn hat da nicht gestrt oder beim laufen behindert ein paar kleine kritikpunkte die blinkfunktion hat im laufe de jahres den geist aufgegeben auch riechen die stiefel leicht nach chemie wenn sie noch ganz neu sind,0,robuste warme wintergummistiefel,1
die gummistiefel sind sehr schn verarbeitet und unser sohn liebt sie nebst der guten verarbeitung ist der leuchteffekt sehr ansprechend und unser sohn ist gut zu sehen der leuchteffekt bleibt auch bei starker verschmutzung bestehen und die schuhe lassen sich sehr gut reinigen,0,schner jungen stiefel,1
mein sohn ist sehr zufrieden die stiefel sind gut verarbeitet und halten im winter die fsse schn trocken und warm sie sind von innen vollstndig mit einem kuscheligen kunstfell gefttert und von auen im ganzen mit durchsichtigem gummi berzogen da dinosaurierskelettmuster ist schn und perfekt fr alle dinofans die ferse blinkt beim gehen im dunklen winter nur vom vorteil sein kann der stiefel fllt etwas gro au sollte vielleicht lieber eine gre kleiner bestellt werden alles im ganzen ein guter wintergummistiefel zum relativ gnstigen preis,0,gute wintergummistiefel,1
sohnemann brauchte neue gummistiefel und diese fand er optisch sehr schn also bestelltleider passten die ersten nicht weshalb wir sie dann nochmal grer bestellt habener ist jetzt sehr zufrieden sie blinken halten trockenbund sind innen auch noch etwas flauschig und daher etwas wrmer al andere stiefel,0,toll fr dinofans,1
resistentes entra agua los da de lluvia con un diseo informal que tanto sirve para llevar con uniforme al colegio para unos vaquero en fin de semana perfectos,1,resistentes,1
die stiefel sehen schn au und die blinklichter funktionieren einwandfrei allerdings sind die stiefel schon ziemlich schwer und scheinen von der passform nicht besonders gut zu sein mein sohn hat e nach zwei versuchen sein lassen da er keinen guten halt hatte und somit nicht bequem damit laufen konnte,0,schne stiefel aber ziemlich schwer,1
nice boot hoped shoe lace would flexible integrated like camper shoe get regular lace dont get camper feeling practicality putting quickly quite light plus,1,nice camper feeling,1
die lieferung kam sehr schnell und gut verpackt bei mir andie schuhe sind wie den angaben beschriebenmein kind hat sich sehr gefreutich bin sehr zufrieden mit dem preis und der qualitt,0,sehr zufrieden,1
suuuuper bequeme schuhe mein mann sagt er luft wie auf wolkenpassen perfekt,1,sehr bequem,1
gzel bir yagmur izmesi ama paket geldiginde actim hasarli oldugunu grdm kalite olarak gzelneden gndermeden nce nce kontroln yapmyorsunuz anlayamadim,1,hasarl,1
took half hour get shoe practical returned item still waiting refund,1,expected,1
sono rifiniti molto bene la soletta e scamosciata co il piede non suda allesterno sono di stoffa allinterno contatto con la pelle hanno un ulteriore rivestimento per proteggere il piedinola calzata e regolaresono molto soddisfatta di questo acquisto,1,sandaletti ben fatti,1
ho comprato questo sandali mio figlio di anni devo dire che lui piacciono tanto calzano esatte quindi consiglio un numero pi rispetto quello del piede effettivo,0,buone,1
scarpa molto carina e resistente mio figlio ci cammina e corre benissimo comode e pratiche da indossare soddisfatta anche del prezzo,1,ottimo acquisto,1
ottimo prodotto come garantisce la stessa marca taglia fedele ai centimetri,1,ottime,1
non mi piacciano non calzano bene ho cambiato due volta numeri prima uno pi grande e poi uno pi piccolo maleinsoddisfatta le ho rese,1,rese,1
possibile avere il reso sandali sono grandi e non vanno da due settimane che ho fatto richiesta non ho avuto nessuna risposta,1,attesa di un feedback di reso da due settimane,1
sandali ottimi e corrispondenti alla descrizione la taglia precisa la consegna stata un po ritardata perch mal gestita dal corriere,0,ottimo sandalo lumberjack taglia precisa buona qualit,1
pratico e confortevole spesa contenuta per un buon prodotto,1,ottimo rapporto qualit prezzo,1
comodissimi ci cammino per chilometri,1,ne compro un paio ogni anno le uso tantissimo quando vado vacanza,1
ottimo acquisto sandalo comodo e ben strutturato bello esteticamenteveste bene essendo aperto consiglio misura pi,1,recensione sandalo,1
ottime scarpe per allenamento e gare leggere e stabili,1,asics evoride,1
trs belle chaussure tient bien le pied avec un amortie parfait pour de km de footing recommander,1,qualit,1
,1,,1
,1,,1
muy cmodos para trote caminatas los recomiendo,1,excelente zapatos,1
shoe responsive good would better longer shoe lace,1,great shoe price,1
love running shoe,1,running shoe,1
waaaay smaller size supposed becute shoe thoi bought yr old fit yr oldsoif order themget size bigger usually would get,1,much smaller size say,1
daughter size ordered size still tight id say size would fit perfectly super cute otherwise,1,shoe size,1
star sizing issue true size run small return requesting size bigger pleased shoe cute person pic,1,shoe run least size small,1
honestly look way better person look super cheap bowl detail decent,1,nice product decent holiday,1
real cute ran small loved look return,1,rans small,1
small granddaughter,1,got wrong size,0
run smaller actual size,1,run smaller quality good,1
cute run small returned,1,run small,1
ordered size looked like size small good quality,1,small poor quality price,0
extremely small true size pretty good dont fit,1,run extremely small,1
comfortable soft white leather true size authentic product,1,authentic frye shoe,1
amazing value super soft leather incredibly comfortable lightweight,1,great comfy shoe well made,1
poor leather quality sneaker cute elegant sitting closet past month dont see wearing wore couple week got soiled shoe tried clean damp cloth always soiled leather shoe got discoloration result even bigger initial spot nothing done fixed unfortunately waste money,1,poor leather quality,0
leather inside really smelly polyurethane smell got im keeping wonder one reviewer stated didnt last,1,super cute super fake,1
shoe bit tight leather shoelace shed little piece leather include second pair cotton lace odd,0,great shoe tight,1
super cute shoe leather lace ridiculous shed everywhere send regular lace change,1,love,1
need put insole support foot dont like wearing flat shoe put top shoe rubbed really bad right foot large toe joint good foot left foot major surgery didnt issue still healing bad blister right toe joint week ago,0,gave terrible blister first day wore insole come good,0
great quality leather narrow fit length true size theyre new condition came tissue amazon box frye box lace seem really long thick shoe overall theyre super cute great way dress sneaker,1,really cute narrow,1
bought shoe despite price tag exactly style got indeed loved look however first day wore shoe hour got blister size quarter caused loose sleep two day pain shoe pricy reason shouldnt built comfort least cause amount pain,0,beautiful shoe terrible comfort,1
great fit sole totally flat hard offering little traction odd able accidentally slide wearing tennis shoe thick suede lace easy use,1,little traction allows slipslide,1
sehr schner schuh zum gnstigen preis,1,wunderbare passgenauigkeit,1
diese gummistiefel sind im vergleich zu vielen anderen alternativ bestellten sehr bequem nicht eng geschnitten fu sie haben eine biegsame sohle und sind vorallem geruchsarmkann ich nur weiterempfehlen,0,bequem und geruchsarm,1
die stiefel sind von ganz guter qualitt sehen hbsch au und sind wohl lt meiner tochter auch bequem,0,schner mdchenstiefel,1
meine tochter zieht sie gerne sie fallen allerdings etwas kleiner au,0,toller stiefel und schnes muster,1
berrascht sind se weiche gummistiefel,1,und weich,1
qualitt ist gut und wie erwartetgerne empfehle ich weiter,1,passt ganz gut,1
meine tochter liebt diese gummistiefel preisleistungsverhltnis stimmt,1,schne gummistiefel,1
preis leistung ordnung,1,positiv berrascht,1
bardzo adne wygodne,1,pasuje rozmiaru,1
super passform,1,gute passform,1
great shoe kid pink actually nicer real life photo,1,great new,1
bought june shoe either defective counterfeit july return window closed day agoand unfortunately tennis shoe created hole toe wore approximately one hour per day every day throughout month ive bought new balance even style year never happen within first month theyre either defective case id like manufacturer seller return replace new pair theyre counterfeit made well im hoping amazon seller get touch rectify situation thank,1,shoe either defective counterfeit,0
son flatfooted overpronation problem shoe helped stabilize plus really rough shoe hold ok time grows pretty demolished last long enough u,1,great shoe,1
shoe wore quickly fewer month big hole sol separating shoe bought new balance local nb store lasted month disappointing,0,wore quickly,1
kid wide foot sizing always difficult fit true size xw ordered pair nb different model xw far say best cushioning support wish color,1,finally comfortable shoe year old wide foot,1
bought yo size came saw great deal got mistake daughter love say never want take comfortable mom feel like im walking cloud,1,walking cloud,1
two month left right sol split apart never purchase model nb never issue model buy risk recommend shoe kiddos,1,buy risk,0
purchased daughter june time school started august hole keep mind daughter wearing flip flop summer tennis shoe worth money le two month wear,0,dont last,1
bought pair daily walking running big kid im size woman ive yet experience pain foot needed pair shoe support flat foot definitely job arch wonderful foot shoe light theyre breathable super bright ive gotten many compliment plan purchasing another pair run,1,love love loveeeee,1
good looking shoe previous pair shoe lasted almost year boy really rough shoe run little large great kid tend walk inside foot nice color combination,1,long lasting shoe great pronaters,1
comfortable perfect fit bought colour half price colour option wanted shoe outside work colour le concern like colour wearing shoe much expected excellent value,1,clark shoe never let,1
im wearing therere light strong im quite sure im pretty sure wet floor theyre stable put weight simply dont want know without doubt dont want get insurance involved,1,l v e e im pretty sure wet floor,1
excellent,1,comfort wonderful husband,1
comfortable color accurate,1,five star,1
love nothing bad say,1,true fit,1
confy expectrd size,1,five star,1
nice color,1,attractive,1
super cute casual sneaker pretty comfy personally would prefer bit arch support still comfy casual wear look cute short jean casual dress love little gold detail like eyelet end shoe string,1,super cute pretty comfy,1
easily worst shoe ive ever owned love print uncomfortable padding bottom back shoe back shoe pinch heel buy gel insert put back shoe dont help hoping problem would get better broken ive worn almost daily week buying another pair keds,0,terrible shoe,0
cute return way stiff would caused blister heel sure red mark trying super bummed cute,1,cute stiff,1
love shoe comfortable,1,love,1
cute,1,comfortable trendy,1
beautiful comfortable pair shoe absolutely obsessed,1,go ahead purchasethey worth,1
cute horribly uncomfortable strange sizing narrow toe area long stiff rub heel returning,0,cute horribly uncomfy,0
love keds one favorite shoe especially luv cheetah print also favorite,1,beautiful shoe,1
perfect fit look great comfortable,1,great shoe,1
sind soweit zufriedenschuh ist einfach schick mit den blmchen darauf und die farben sowiesoverarbeitung ist immer soweit ordnung ist auch nicht unser erster schuh dieser markepunkt abzug gibt e nur fr die gre da wir etwas wollten da bissel lnger hlt und eigentlich ne nummer grer genommen hatten nur ist er schon bald wieder zu kleinaber alles allem kaufen wir gerne diese schuhe preiswert und gut,0,schick,1
acquistate offerta il prodotto ha un ottimo rapporto qualitprezzo sono ben rifinite calzano bene sono anatomiche e la bambina le trova comode le ho trovate migliori di altre marche pi blasonate che di solito appiattiscono larco plantare queste invece lo seguono molto bene,1,rapporto qualitprezzo eccezionale,1
ich habe erneut schuhe dieser marke fr meine tochter fr den sportunterricht bestellt ihr gefallen sie sehr und sie sind sehr bequem eigentlich hat meine tochter grad die letzten schuh waren aber sind ihr jetzt zu klein habe die u bestellt man kann die innensohle rausnehmen und da sieht man da die genau richtig istfazit lico immer nummern grer bestellen solange da kind noch wchst,0,lico turnschuhe lieber nummern grer,1
unsere kinder tragen seit jahren sportschuhe von lico und da preisleistungsverhltnis hat un immer berzeugt bei dem letzten paar lst sich leider nach kurzer tragezeit die fusohle und ist nun zur stolperfalle geworden,0,sohle lst sich,1
mit groen augen hat meine tochter diese schuhe bestaunt und gleich getragen passen perfekt und sind bequem und vor allem sehen sie super au,1,schicke turnschuhe,1
pretty appearance sol come loose month recommend,1,loose sole month use,0
wenn ihr sie bestellt empfehle ich nummern kleiner,1,zu gross und zu weit,0
muy buena mi hija de aos la usa para la gimnasia del cole despus de un ao de trote estn perfecta ha gustado sta marca repetir,1,buenas zapatillas cmodas duraderas,1
die schuhe sind sehr schick,0,sehr zufrieden,1
en un par de me la puntas de la zapatillas ya estaban despegadas en unos me m tienen un aspecto lamentable,0,mala calidad,1
great minus fact tongue sewn inside shoemaybe thing cleat first experience make little difficult get upside doesnt come easy either untied otherwise star would given,1,almost star,1
opening shoe fixed doesnt stretch opening small unless extremely petit ankle foot area nearly impossible put year old petite couldnt even get trying second pair size larger disheartening considering adidas cleat normal goto,0,small fixed opening,1
daughter loved fit great look great daughter,1,daughter love,1
shoe fit perfect break though overall great fit great look,1,perfect,1
blister,1,comfortable,1
wear size fit perfect,1,great fit,1
small want return pair fit comfortably two bloody blister,1,small return item,1
wife recently used every day cruise found excellent dancing pretty good looking,1,great dancing,1
first pair ordered large fit perfectly normally take large fit nicely nice sandal reasonable price fast shipping ordered noon thursday arrived friday wow,1,excellent value,1
tried bought different type insole ridge one side feel uncomfortablethe different one bought next denverhayes quad comfort feel amazing,1,insole uncomfortable,0
yes husband thrilled new sandal fit good happy colour choice,1,great father day gift,1
fue un regalo para mi pap le quedaron muy bien cmodas frescas,1,cmodas,1
los ped para mi novio l e en mxico los que ped de acuerdo la conversin le quedaron un poco grandes pero nada grave dice que son muy cmodos se nota desde el material de la plantilla son bonito los compr muy buen precio durante el hot sale,0,un poco grandes pero bonito,1
perfect exact size comfortable would buy,1,perfect size,1
ordered wish someone would make leather would given star leather upper,1,ordered wish someone would make leather,1
quality good,1,quality,1
bit biggerthe foam sunk foot feel bottomdue bit oversize walking area near toe cap rubbing toe,1,foam soft,1
el producto e de una excelente calidad e muy amblio recuerden que si lo usan sin calcetin recomiendo pedir una talla ma chica,0,excelente calidad,1
purchased found narrow foot gifted daughter whose foot skinnier lolgreat price nice looking sneaker,1,adidas running shoe,1
quedan perfecto la talla yo soy talla ped usa qued perfectoson suaves cmodos originales los ame son super livianos para correr,1,recomendado,1
son muy ligeros ideales para correr en general hacer ejercicio aunque son sencillos son muy cmodos estn lindos soy talla mx ped el de eeuu quedaron bien,1,ligeros cmodos,1
segn lo esperado para la marca parecen ser de excelente calidad falta ver desempeo largo plazo,1,buena calidad,1
product wore week use sole upper mesh athletic long k walk time week,1,product wore week use,1
muy cmodos para hacer ejercicio el outfit diario,1,cmodos modernos,1
fit perfect look great,1,nice shoe,1
compro scarpe softinos da qualche anno ormai sono belle esteticamente molto curate nei dettagli e cosa importantissima ultracomode come guanti e spesso riesco anche trovare delle buone offerte queste un disastro esattamente come successo allaltro acquirente la suola si letteralmente staccata dalla tomaia e non puoi nemmeno restituirle perch le hai usate ovvio spero che qualcuno almeno legga queste recensioni,1,delusione totale,1
merci,1,merci,1
ultraleichter und angenehmzu tragender schuh leider lst sich schon beim tragen die sohle ab qualitt mangelhaft,0,sohle lst sich ab,1
super comodos quedan como un guante la talla exacta encantaron,1,muy comodos,1
read many review bought since many people said run big last pair adidas cloudfoam pretty big went half size usually wear ordered little tight first couple time wore would advise ordering regular size luckily theyve stretched bit foot fit perfectly wear thin sock shoe super light weight ive used gym running errand thing dont like bottom shoe smooth id scared wear rainy day,1,perfect everyday wear,1
al me se daono e buena calidad,1,mal producto,1
nice tough shoe play hard grandson wear school uniform he hard shoe holding nicely,1,made well kid play hard,1
great shoe school,1,five star,1
tolles fubett,1,nara sneaker,1
sehr schnelle lieferung gute verpackung de gewnschten artikelsgerne wieder,1,schnelle lieferung,1
super bequemer schuh schne farbe,1,alles super,1
shoe denim burgundy pink mint green red love,1,great color,1
shoe started tear see outing courtthis need replaced,1,shoe started wear top outing court need replaced,1
nice shoe good bottom support way way narrow pinch toe small narrow childlike foot still way narrow accurate sizing,1,way narrow,1
shoe nice quite comfortable usually wear fit small reorder love skechers slip shoe,1,nice looking shoe comfortable,1
hole worn toe area within month moderate indoor use poor quality happy shoe happened see image ill never buy skechers,0,made last month poor quality,0
love shoe lightweight comfortable good wide foot otherwise true size,1,thumb,1
perfect fittingvery light weight comfortable highly recommend,1,light comfortable shoe,1
way small size,1,way small size,1
im happy fit comfort shoe,1,great light weight shoe,1
love way fit comfortable work,1,beautiful comfortable,1
severe foot pain near ankle wearing shoe surely defective product window return closed couldnt exchange waste,0,severe foot pain pain wearing shoe,0
seem bit odd fitting compared sketcher ok getting use back bit low,0,run small size,1
la consueta sicurezza nellacquistare scarpe ecco comode e confortevoli,1,perfette e comode,1
loved shoe super comfortable problem color kid taupey grey little clothing color would great true dark charcoal grey otherwise straight black always work sadly color option,1,super comfortable shoe color bit,1
way narrow plus upper flexible,1,upper flexible,1
era lo q esperaba base en la tabla que tienen para la tallas quedo demasiado grande la parte de enfrente estaba demasiado ancha tambin el color era como el de la foto,1,decepcin nmero grande,1
do veces ped este modelo en uno cancelaron el pedido el reembolso fue rpido la segunda vez mandaron el nmero equivocado se le quedaron un familiar el modelo le gust la comodidad recomiendo que pidan medio nmero menos del que calzan vienen amplios,1,cmodos bonito,1
la calidad de los tenis e muy buena ese precio excelente en lo particular encanta el color los uso para correr son muy ligeros cmodos,1,excelentes,1
los devolvi el precio era atractivo pero gustaron los acabados la forma parecia tamal los colores eran feos pero eran de una calidad destacable pagaria ma de peso por ellos,1,fui fan,1
por consejo de una amiga ped tenis de esta marca ella dijo que venan en tamao reducido que solicit nmeros ma grandes por lo cual quedaron tuve que devolverlos,1,tenis,1
somehow think shoe look wider picture colour true picture shoe sol thick imagined sale price got really complain much,1,good buy,1
los tenis estn suuuper bien un producto de calidad sin embargo los devolv derivado qu la persona le quedaron demasiado grandes pesar de ser su talla e decir vienen m grandes modo wide para persona con pie ancho ojo si los va comprar ten en cuenta que vienen m grandes que la talla que compras,0,vienen m grandes,1
excelente gustaron m como se ven ya puestos que en la imagen sper cmodosped wide con la plantillas que uso quedaron perfecto encanta new balance porque nunca tenido que moldear los zapatostenis desde la primera se sienten muy agusto,1,muy cmodos,1
fueron los primero new balance de mi hija arrepent de haber comprado para ya que estaban con descuento el calzado e cmodo ligero su esttica esta del cien volvera comprarlo,1,calzado recomendable,1
gust el precio estaba excelente se sientes ligeros muy cmodos la parte del frente parece gamuza pero lo e e un material sinttico,1,bien,1
new shoe specifically bought thin sol used drumming comfortable always enjoy adidas shoe used drumming look great importantly appropriately thinsoled drumming would recommend,1,comfortable drumming,1
good,1,id recommend,1
weat usually shoe next time think ill go id say orear smaller adidas shoe smaller brand shoe shoe confy tho seem durable,0,weat usually shoe,1
awesome,1,five star,1
great shoe gym skipping ordered half size bigger like recommended work perfect wouldnt run nice flat work great squat deadlift,1,great shoe gym,1
good value money,1,love,1
quality look good however small size return vendor,1,four star,1
great fit feel would recommend shoe,1,four star,1
really good pair wrestling boot would recommend starter,1,five star,1
great shoe bit narrow,1,five star,1
good shoe,1,cool gear,1
brought work boot like height heel returning refund,1,look nice,1
good boot little larger expected ordered little big thinking actual size would small returned little smaller size,1,little large,1
thank ya kindly sir,1,yeee haaa,1
nd pair love love love blessed,1,perfecto,1
